Site Name,COMPONENT,COUNTRY,State Terr,Oper Stat,Creation Year
Allen Stagefield AL,Army Active,United States,Alabama,Active,1942
Louisville Stagefield AL,Army Active,United States,Alabama,Active,1942
White Sands Missile Range NM,Army Active,United States,New Mexico,Active,1945
Fort Monroe,Army Active,United States,Virginia,Inactive,1819
MCB Camp Smith,MC Active,United States,Hawaii,Active,1919
MC Trng Area Bellows,MC Active,United States,Hawaii,Active,1918
Glenview,Navy Active,United States,Illinois,Active,1923
ALF Orange,Navy Active,United States,Texas,Active,1943
McClellan AFB,AF Active,United States,California,Inactive,1935
Saylor Creek Air Force Range,AF Active,United States,Idaho,Active,1953
Laughlin AFB,AF Active,United States,Texas,Active,1942
Buckley AFB,AF Active,United States,Colorado,Active,1942
Tyndall AFB,AF Active,United States,Florida,Active,1941
Columbus Auxiliary Airfield,AF Active,United States,Mississippi,Active,1942
Goodfellow AFB,AF Active,United States,Texas,Active,1940
Fort Richardson,AF Active,United States,Alaska,Active,1940
Birch Lake Recreation Annex,AF Active,United States,Alaska,Active,1955
Louisville IAP-Standiford FL Site 1,AF Guard,United States,Kentucky,Active,1947
Kelly AFB,AF Active,United States,Texas,Active,1917
NG Camp Joseph T Robinson,Army Guard,United States,Arkansas,Active,1937
NG Camp Ashland,Army Guard,United States,Nebraska,Active,1942
NG Bethel ARM FMS,Army Guard,United States,Alaska,Inactive,1958
NG GUARNG Barrigada Complex,Army Guard,Guam,Guam,Active,1944
NG Volkstone,Army Guard,United States,West Virginia,Active,1943
NAVBASE Coronado,Navy Active,United States,California,Active,1943
Finegayan South,Navy Active,Guam,Guam,Active,1944
Grand Forks Defense Fuel Support Point,AF Active,United States,North Dakota,Active,1956
CSO Barbers Point HI,Navy Active,United States,Hawaii,Inactive,1942
Fort Bliss,Army Active,United States,Texas,Active,1848
Jim Creek,Navy Active,United States,Washington,Active,1942
Pohakuloa Training Area,Army Active,United States,Hawaii,Active,1943
Military Ocean Tml Sunny Point,Army Active,United States,North Carolina,Active,1955
Waianae Kai Military Reservation,Army Active,United States,Hawaii,Active,1943
Picatinny Arsenal,Army Active,United States,New Jersey,Active,1880
Arlington Service Ctr,Navy Active,United States,Virginia,Active,1942
CBC Gulfport MS,Navy Active,United States,Mississippi,Active,1942
UTTR - North,AF Active,United States,Utah,Active,1979
March ARB,AF Reserve,United States,California,Active,1918
Newington Defense Fuel Support Point,AF Active,United States,New Hampshire,Active,1955
Gila Bend Air Force Auxiliary Field,AF Active,United States,Arizona,Active,1942
Lakehurst,AF Active,United States,New Jersey,Active,1917
Randolph AFB,AF Active,United States,Texas,Active,1930
NG Macon Readiness Center,Army Guard,United States,Georgia,Active,1952
NG MTA Camp Butner,Army Guard,United States,North Carolina,Active,1942
NG MTA Camp Rilea,Army Guard,United States,Oregon,Active,1927
NG Frankfort Boone NG Center,Army Guard,United States,Kentucky,Active,1953
Makaha Ridge,Navy Active,United States,Hawaii,Active,1943
NOLF Wolf,Navy Active,United States,Alabama,Active,1943
NAVSUPPACT Annapolis,Navy Active,United States,Maryland,Active,1845
Jonathan Dickinson Tracking Annex,AF Active,United States,Florida,Active,1961
Fort Gordon,Army Active,United States,Georgia,Active,1941
Camp Mackall,Army Active,United States,North Carolina,Active,1943
Indiana Army Ammunition Plant,Army Active,United States,Indiana,Inactive,1941
MCAS Beaufort,MC Active,United States,South Carolina,Active,1942
NAVSUPPACT Norfolk NSY,Navy Active,United States,Virginia,Active,1767
Lafayette Rvr Complex,Navy Active,United States,Virginia,Active,1942
Bangor WA,Navy Active,United States,Washington,Active,1942
Eglin Air Force Auxiliary Field 3 Duke Fld,AF Active,United States,Florida,Active,1941
Wright-Patt AFB,AF Active,United States,Ohio,Active,1917
Lackland AFB,AF Active,United States,Texas,Active,1941
NG Sparta Armory,Army Guard,United States,Illinois,Active,1952
NG MTA Camp Crowder Neosho,Army Guard,United States,Missouri,Active,1941
NG Hollidaysburg Readiness Center,Army Guard,United States,Pennsylvania,Active,1954
NG Camp Beauregard,Army Guard,United States,Louisiana,Active,1942
NG Helena Aviation RC- AASF- C12,Army Guard,United States,Montana,Active,1956
NG Lansing Joint Forces Readiness Center,Army Guard,United States,Michigan,Active,1955
NG Camp Perry Joint Training Center,Army Guard,United States,Ohio,Active,1898
NG Oklahoma Military Department,Army Guard,United States,Oklahoma,Active,1952
NG Salina KS Training Center,Army Guard,United States,Kansas,Active,1953
NAVOBSSTA Flagstaff AZ,Navy Active,United States,Arizona,Active,1942
Target B-16,Navy Active,United States,Nevada,Active,1944
Barin Field,Navy Active,United States,Alabama,Active,1942
Old Town Site 1,Navy Active,United States,California,Active,1943
Broadway Complex,Navy Active,United States,California,Active,1942
Mission Gorge Rec Area,Navy Active,United States,California,Active,1943
McGuire,AF Active,United States,New Jersey,Active,1937
Northside Mid-South,Navy Active,United States,Tennessee,Active,1942
NSWC Carderock Div,Navy Active,United States,Tennessee,Active,1942
Umatilla Chemical Depot,Army Active,United States,Oregon,Active,1941
Defense Supply Center Columbus,Army Active,United States,Ohio,Active,1918
US Army Garrison Selfridge,Army Active,United States,Michigan,Active,1917
