Name,State,Region,Pressident,Start Year,End Year
Quasi War,FRN,Latin America & Caribbean,George Washington,1798,1801.0
First Barbary War,LIB,Africa,Thomas Jefferson,1801,1805.0
Arrest of Pike's Expedition,MEX,Latin America & Caribbean,Thomas Jefferson,1806,1806.0
Gulf of Mexico Pirates,"SPN, FRN",N. America,Thomas Jefferson,1806,1810.0
Annexation of West Florida,SPN,N. America,James Madison,1810,1810.0
Patriot War,SPN,N. America,James Madison,1812,1814.0
War of 1812,UKG,Europe,James Madison,1812,1815.0
Occupation of West Florida ,SPN,N. America,James Madison,1813,1813.0
,CUB,Latin America & Caribbean,James Madison,1814,1825.0
,UKG,N. America,James Madison,1814,1814.0
Second Barbary War,LIB/ALG,Africa,James Madison,1815,1815.0
First Seminole War,SPN,N. America,James Madison,1817,1819.0
Amelia Island Affair,SPN,N. America,James Monroe,1817,1817.0
Oregon Territory claims,RUS/SPN,N. America,James Monroe,1818,1818.0
,SPN,N. America,James Monroe,1818,1818.0
African Slave Trade Mission,Africa/LBR,Africa,James Monroe,1820,1823.0
Landings to Suppress Piracy,CUB,Latin America & Caribbean,James Monroe,1822,1824.0
Landings in Cuba to Suppress Piracy (II),CUB,Latin America & Caribbean,James Monroe,1823,1823.0
Landings in Cuba to Suppress Piracy (III),CUB,Latin America & Caribbean,James Monroe,1824,1824.0
Fajardo Affair,SPN,Latin America & Caribbean,James Monroe,1824,1824.0
Piracy Battle,CUB,Latin America & Caribbean,John Quincy Adams,1825,1825.0
Anti-Piracy Operations in the Cyclades,GRC,Europe,John Quincy Adams,1827,1827.0
First Sumatran Expedition,IDN,Asia,Andrew Jackson,1832,1832.0
Landing to Protect Foreign Interests During Unrest,ARG,Latin America & Caribbean,Andrew Jackson,1833,1833.0
,COL,Latin America & Caribbean,Andrew Jackson,1834,1834.0
,FRN,Europe,Andrew Jackson,1835,1835.0
Ingham Incident,MEX,Latin America & Caribbean,Andrew Jackson,1835,1835.0
Protection of the American Consulate in in Callao and Lima ,PER,Latin America & Caribbean,Andrew Jackson,1835,1836.0
General Gaines in Nacogdoches,MEX,Latin America & Caribbean,Andrew Jackson,1836,1836.0
General Urrea Incident,MEX,Latin America & Caribbean,Andrew Jackson,1836,1837.0
The Caroline Affair,UKG,N. America,Martin Van Buren,1837,1838.0
Second Sumatran Expedition,IDN,Asia,Martin Van Buren,1838,1839.0
,MEX,Latin America & Caribbean,Martin Van Buren,1838,1838.0
Aroostook War (Pork and Beans War),UKG,N. America,Martin Van Buren,1839,1839.0
Fiji punitive expedition,FIJ,Oceania,Martin Van Buren,1840,1840.0
Battle of Drummond's Island,KIR,Oceania,Martin Van Buren,1841,1841.0
Retaliation for treaty abrogation,WSM,Oceania,Martin Van Buren,1841,1841.0
Capture of Monterey,MEX,Latin America & Caribbean,John Tyler,1842,1842.0
Landing to Protect Americans in Canton,CHN,Asia,John Tyler,1843,1843.0
,MEX,Latin America & Caribbean,John Tyler,1843,1848.0
Mexican-American War,MEX,Latin America & Caribbean,James K. Polk,1846,1848.0
,UKG,N. America,James K. Polk,1846,1846.0
,TUR,,,1849,
,MEX,Latin America & Caribbean,Millard Fillmore,1850,1851.0
The Cardenas Expedition,SPN,Latin America & Caribbean,Millard Fillmore,1850,1850.0
Freeing US merchant ship,Johanns Isl.,Africa,Millard Fillmore,1851,1851.0
Jaffa Massacre Deployment,TUR,Asia,Millard Fillmore,1851,1851.0
Buenos Aires Protection,ARG,Latin America & Caribbean,Millard Fillmore,1852,1853.0
Lobos Islands Affair,PER,Latin America & Caribbean,Millard Fillmore,1852,1852.0
Koszta/Smyrna Affair,AUH,Europe,Franklin Pierce,1853,1853.0
Perry Expedition,JPN,Asia,Franklin Pierce,1853,1854.0
Burning of San Juan Del Norte,NIC,Latin America & Caribbean,Franklin Pierce,1853,1854.0
Battle of Muddy Flat,CHN,Asia,Franklin Pierce,1854,1854.0
,NIC,Latin America & Caribbean,Franklin Pierce,1854,1854.0
The Black Warrior Affair,SPN,Latin America & Caribbean,Franklin Pierce,1854,1854.0
Bombardment of Greytown,UKG,Latin America & Caribbean,Franklin Pierce,1854,1854.0
Anti-Piracy Efforts in Shanghai and Ty-ho Bay,CHN,Asia,Franklin Pierce,1855,1855.0
Fiji Punitive Expedition,FIJ,Oceania,Franklin Pierce,1855,1855.0
Callahan's Raid,MEX,Latin America & Caribbean,Franklin Pierce,1855,1855.0
1855 Diplomatic Crisis Over Cuba,SPN,Latin America & Caribbean,Franklin Pierce,1855,1855.0
Protection of Foreign Nationals During Instability in Montevideo,URU,Latin America & Caribbean,Franklin Pierce,1855,1855.0
Battle of the Barrier Forts,CHN,Asia,Franklin Pierce,1856,1856.0
