Year,DefenseBudget,GDP,Population
1789,0.001,0.19,3.929
1790,0.002,0.21,4.046
1791,0.002,0.22,4.172
1792,0.003,0.24,4.308
1793,0.003,0.26,4.443
1794,0.005,0.29,4.579
1795,0.006,0.32,4.654
1796,0.006,0.35,4.729
1797,0.007,0.38,4.904
1798,0.009,0.41,5.079
1799,0.010,0.44,5.254
1800,0.011,0.48,5.308
1801,0.009,0.51,5.486
1802,0.008,0.45,5.679
1803,0.008,0.48,5.872
1804,0.010,0.53,6.065
1805,0.011,0.56,6.258
1806,0.012,0.59,6.451
1807,0.012,0.62,6.644
1808,0.011,0.66,6.837
1809,0.012,0.69,7.030
1810,0.012,0.70,7.224
1811,0.013,0.76,7.460
1812,0.018,0.78,7.700
1813,0.032,0.96,7.939
1814,0.036,1.06,8.179
1815,0.022,0.92,8.419
1816,0.016,0.81,8.659
1817,0.014,0.76,8.899
1818,0.016,0.79,9.139
1819,0.016,0.76,9.379
1820,0.016,0.70,9.618
1821,0.014,0.73,9.939
1822,0.013,0.78,10.268
1823,0.013,0.80,10.596
1824,0.018,0.82,10.924
1825,0.016,0.82,11.252
1826,0.015,0.84,11.580
1827,0.015,0.86,11.909
1828,0.015,0.87,12.237
1829,0.015,0.89,12.565
1830,0.015,1.01,12.901
1831,0.017,1.03,13.321
1832,0.017,1.06,13.742
1833,0.016,1.09,14.162
1834,0.019,1.13,14.582
1835,0.020,1.18,15.003
1836,0.021,1.24,15.423
1837,0.020,1.25,15.843
1838,0.023,1.28,16.264
1839,0.026,1.36,16.684
1840,0.025,1.55,17.123
1841,0.026,1.64,17.733
1842,0.025,1.62,18.345
1843,0.023,1.57,18.957
1844,0.024,1.62,19.569
1845,0.025,1.71,20.182
1846,0.031,1.80,20.794
1847,0.052,1.87,21.406
1848,0.046,1.88,22.019
1849,0.039,1.93,22.631
1850,0.041,2.44,23.261
1851,0.044,2.58,24.086
1852,0.047,2.76,24.911
1853,0.050,2.99,25.736
1854,0.055,3.13,26.560
1855,0.059,3.27,27.385
1856,0.065,3.40,28.210
1857,0.069,3.58,29.035
1858,0.065,3.68,29.860
1859,0.069,4.10,30.685
1860,0.066,4.34,31.513
1861,0.084,4.43,32.351
1862,0.485,4.89,33.188
1863,0.899,5.67,34.026
1864,1.198,6.19,34.863
1865,1.297,5.87,35.701
1866,0.378,5.97,36.538
