Date,City,State,School,Fatalities,Wounded
3/27/1990,Brooklyn,New York,C,0,1
5/20/1990,Centerville,Tennessee,HS,1,
8/26/1990,Las Vegas,Nevada,HS,1,
9/11/1990,San Antonio,Texas,HS,0,3
1/8/1991,Richardson,Texas,HS,0,
2/6/1991,Donna,Texas,HS,1,0
4/23/1991,Compton,California,MS,1,
4/23/1991,Compton,California,MS,1,0
9/18/1991,Crosby,Texas,HS,1,
9/18/1991,Crosby,Texas,HS,1,0
10/8/1991,Bronx,New York,HS,1,
11/1/1991,Iowa City,Iowa,C,5,
11/1/1991,Iowa City,Iowa,C,6,1
11/14/1991,Houston,Texas,HS,0,
11/25/1991,Brooklyn,New York,HS,1,
11/25/1991,Brooklyn,New York,HS,1,0
12/12/1991,Kent,Ohio,C,1,0
1/29/1992,Kent,Ohio,C,0,1
2/26/1992,Brooklyn,New York,HS,2,
2/26/1992,Brooklyn,New York,HS,2,0
5/1/1992,Olivehurst,California,HS,4,
5/1/1992,Olivehurst,California,HS,3,10
5/14/1992,Napa,California,MS,0,
9/11/1992,Lincoln,Texas,HS,0,
10/12/1992,Lincoln,Nebraska,C,0,
10/12/1992,Tucson,Arizona,HS,1,
10/19/1992,The Bronx,New York,HS,0,3
11/4/1992,Detroit,Michigan,HS,0,11
11/10/1992,Chicago,Illinois,ES,0,
11/13/1992,Houston,Texas,HS,1,
11/16/1992,Birmingham,Alabama,HS,1,
11/20/1992,Chicago,Illinois,HS,1,
11/23/1992,Buffalo,New York,HS,0,
12/3/1992,Chicago,Illinois,ES,1,
12/14/1992,Great Barrington,Massachusetts,C,2,
12/14/1992,Great Barrington,Massachusetts,C,2,4
1/6/1993,Brentwood,New York,HS,0,1
1/8/1993,Kinzers,Pennsylvania,HS,1,
1/12/1993,Miami,Florida,HS,1,
1/18/1993,Grayson,Kentucky,HS,2,
1/18/1993,Grayson,Kentucky,HS,2,0
1/21/1993,Los Angeles,California,HS,1,
2/1/1993,Redmond,Washington,MS,1,
2/1/1993,Amityville,New York,HS,1,
2/4/1993,Clayton County,Georgia,HS,1,
2/8/1993,Middle River,Minnesota,MS,1,
2/8/1993,Washington DC,District of Columbia,HS,1,
2/18/1993,Dallas,Texas,HS,1,
2/22/1993,Los Angeles,California,HS,1,
2/22/1993,Los Angeles,California,HS,1,0
2/26/1993,Gloucester,Massachusetts,HS,0,
3/18/1993,Harlem,Georgia,HS,1,
3/25/1993,St. Louis,Missouri,HS,1,
4/3/1993,Sacramento,California,HS,1,
4/14/1993,Irving,Texas,HS,1,
4/15/1993,Acushnet,Massachusetts,MS,1,
4/15/1993,Acushnet,Massachusetts,MS,1,0
4/16/1993,Sacramento,California,HS,1,
4/26/1993,Raleigh,North Carolina,HS,1,
5/14/1993,Irving,Texas,HS,1,0
5/24/1993,Red Hill,Pennsylvania,HS,1,
5/24/1993,Pennsburg,Pennsylvania,HS,1,0
5/27/1993,New Orleans,Louisiana,HS,1,
7/8/1993,Ogden,Utah,C,1,
8/31/1993,Atlanta,Georgia,HS,1,
9/2/1993,Dallas,Texas,HS,1,
9/17/1993,Sheridan,Wyoming,MS,1,4
9/18/1993,Sheridan,Wyoming,MS,1,
10/12/1993,New Castle,Delaware,HS,1,
10/14/1993,Detroit,Michigan,HS,1,
11/1/1993,Chicago,Illinois,HS,1,
11/4/1993,Jacksonville,Florida,HS,1,
11/4/1993,New Britain,Connecticut,HS,1,
11/4/1993,New Britain,Connecticut,HS,1,0
11/5/1993,Bay Springs,Mississippi,HS,1,
11/29/1993,Kansas City,Missouri,HS,1,
12/1/1993,Wauwatosa,Wisconsin,HS,1,
12/1/1993,Wauwatosa,Wisconsin,HS,1,0
12/8/1993,Savannah,Georgia,HS,1,
12/17/1993,Chelsea,Michigan,HS,1,
1/20/1994,Kennard,Texas,HS,0,
1/20/1994,Hacienda Heights,California,HS,1,
1/24/1994,Columbia,South Carolina,HS,1,0
1/26/1994,Columbia,South Carolina,HS,1,
1/31/1994,Seattle,Washington,MS,1,
1/31/1994,Seattle,Washington,MS,1,0
2/8/1994,Detroit,Michigan,HS,1,
2/14/1994,Belmont,California,HS,1,
2/18/1994,Spartanburg,South Carolina,HS,0,1
3/1/1994,Boonville,Missouri,C,2,
3/1/1994,Boonville,Missouri,HS,2,0
3/15/1994,Charleston,South Carolina,HS,1,
3/22/1994,Riveria Beach,Florida,MS,0,
3/23/1994,Seattle,Washington,HS,1,
3/25/1994,Woodstock,Georgia,HS,0,
4/12/1994,Butte,Montana,ES,1,
4/12/1994,Butte,Montana,ES,1,0
4/13/1994,Los Angeles,California,ES,0,
4/21/1994,Nashville,Tennessee,MS,1,
4/21/1994,Nashville,Tennessee,MS,1,0
5/2/1994,North Miami,Florida,HS,1,
5/25/1994,Union,Kentucky,HS,4,
7/25/1994,Ottumwa,Iowa,HS,1,
9/7/1994,Hollywood,California,HS,1,
10/12/1994,Greensboro,North Carolina,HS,1,
10/12/1994,Greensboro,North Carolina,HS,1,1
10/17/1994,Chicago,Illinois,HS,0,1
11/5/1994,San Leandro,California,ES,1,
11/7/1994,Wickliffe,Ohio,MS,1,
11/7/1994,Wickliffe,Ohio,MS,1,4
11/15/1994,Tacoma,Washington,HS,1,
12/14/1994,Albany,New York,C,0,1
1/5/1995,Washington DC,District of Columbia,HS,1,
1/10/1995,Palm Beach Gardens,Florida,HS,0,
1/12/1995,Seattle,Washington,HS,0,
1/12/1995,Seattle,Washington,HS,0,2
1/23/1995,Redlands,California,MS,1,
1/26/1995,Chapel Hill,North Carolina,C,2,
2/2/1995,Long Beach,California,HS,1,
8/29/1995,Laredo,Texas,MS,1,
9/12/1995,Memphis,Tennessee,HS,1,
9/14/1995,Olathe,Kansas,HS,2,
9/29/1995,Tavares,Florida,MS,1,
9/29/1995,Tavares,Florida,MS,1,0
10/12/1995,Blackville,South Carolina,HS,1,
10/12/1995,Blackville,South Carolina,HS,2,1
